Sum of id,Column Labels,,,
Row Labels,mix,natural,(blank),Grand Total
18.81294922,,201,,201
36.25633138,1,,,1
43.0740918,,421,,421
46.93499023,,409,,409
46.99725911,,475,,475
47.25037435,,471,,471
47.29389323,,463,,463
47.37708984,,479,,479
47.5126237,,483,,483
47.52980143,,228,,228
47.55567383,,495,,495
47.59044271,,459,,459
47.68407552,,366,,366
47.71207357,,515,,515
47.72928711,,487,,487
47.74236003,,217,,217
47.81818034,,499,,499
47.83040039,,511,,511
47.84497721,,467,,467
47.84548503,,491,,491
47.9026237,,507,,507
47.90583659,,519,,519
47.91384115,,1092,,1092
47.93173177,,503,,503
47.95571615,,723,,723
47.95912109,,719,,719
47.96944661,,523,,523
47.99248047,,735,,735
47.99812826,,743,,743
48.07396159,,747,,747
48.14492839,,527,,527
48.25742513,,543,,543
48.34944987,,535,,535
48.35039063,,531,,531
48.37610352,,539,,539
48.4455013,,207,,207
48.46001628,,208,,208
48.53013346,,555,,555
48.55629557,,559,,559
48.56032878,,663,,663
48.63472982,,715,,715
48.66553385,,739,,739
48.75351237,,799,,799
48.79640625,,551,,551
48.80881836,,659,,659
48.84003581,,453,,453
48.84592122,,547,,547
48.88102214,,671,,671
48.91343424,,1128,,1128
48.91610677,,378,,378
48.92441406,,575,,575
48.92758464,,711,,711
48.93126302,,675,,675
48.95715495,,787,,787
48.97538737,,563,,563
48.98508789,,567,,567
48.99461589,,795,,795
49.09262695,,599,,599
49.12591146,,707,,707
49.13650065,,791,,791
49.14425781,,679,,679
49.15244792,,583,,583
49.17712891,,655,,655
49.18463542,,667,,667
49.21839844,,579,,579
49.21939779,,683,,683
49.26164388,,687,,687
49.28392904,,571,,571
49.33261719,,595,,595
49.33948242,,691,,691
49.36592448,,763,,763
49.38878906,,699,,699
49.39958659,,759,,759
49.41750326,,767,,767
49.47710612,,703,,703
49.47723958,,591,,591
49.48439779,,783,,783
49.49008464,,695,,695
49.51527344,,212,,212
49.52754232,,587,,587
49.58376953,,213,,213
49.64976237,,203,,203
49.68163411,,643,,643
49.68749023,,390,,390
49.68999349,,651,,651
49.70433268,,225,,225
49.77514974,,603,,603
49.80951497,,771,,771
49.82516927,,611,,611
49.88729167,,1164,,1164
49.94090169,,202,,202
49.99527344,,647,,647
50.00999674,,615,,615
50.04333008,,635,,635
50.12848307,,214,,214
50.14074219,,639,,639
50.16027344,,224,,224
50.17820638,,607,,607
50.19128581,,631,,631
50.25024414,,431,,431
50.39970378,,623,,623
50.59928711,,206,,206
50.61548177,,619,,619
50.81157227,,223,,223
50.96395833,,627,,627
51.01236003,,443,,443
51.18736328,,220,,220
51.68554362,,219,,219
51.88592122,,209,,209
52.1562207,,218,,218
56.013125,199,,,199
56.20641602,195,,,195
56.30736979,203,,,203
56.71924479,191,,,191
56.79626953,207,,,207
56.87450846,211,,,211
56.95677409,219,,,219
57.14224609,187,,,187
57.2522526,183,,,183
57.38138021,223,,,223
57.71880534,215,,,215
58.20045573,227,,,227
58.22729818,179,,,179
58.29764974,231,,,231
58.45152018,235,,,235
58.53784505,171,,,171
58.66360677,243,,,243
58.72828125,175,,,175
58.79687826,239,,,239
59.09623047,167,,,167
59.48680013,247,,,247
59.65413411,163,,,163
59.70769857,159,,,159
59.81858724,251,,,251
59.92841146,255,,,255
60.11512044,259,,,259
60.28685547,155,,,155
60.41623698,147,,,147
60.44295247,151,,,151
60.85607422,271,,,271
60.95942708,143,,,143
60.9760612,275,,,275
61.02768555,263,,,263
61.20720052,267,,,267
61.22310547,139,,,139
61.2541569,279,,,279
61.79641276,283,,,283
61.90872396,295,,,295
62.31147461,287,,,287
62.40466146,299,,,299
62.63831706,135,,,135
62.69834961,303,,,303
63.02863281,291,,,291
63.25890625,315,,,315
63.36030924,307,,,307
63.49204102,323,,,323
63.57974609,311,,,311
63.58364258,319,,,319
63.60658529,327,,,327
63.61151367,51,,,51
63.65345703,55,,,55
63.66876302,99,,,99
63.71618164,335,,,335
63.79127279,347,,,347
63.80160482,63,,,63
63.81013672,59,,,59
63.84581055,103,,,103
63.86890951,67,,,67
63.8827181,47,,,47
64.07551107,95,,,95
64.11742513,343,,,343
64.11748372,43,,,43
64.13472656,127,,,127
64.15786133,351,,,351
64.16628581,71,,,71
64.16988607,359,,,359
64.18358724,131,,,131
64.20820964,339,,,339
64.29829427,331,,,331
64.34467773,20,,,20
64.39550456,363,,,363
64.40387695,367,,,367
64.42320638,123,,,123
64.42843424,355,,,355
64.52491862,371,,,371
64.61385742,91,,,91
64.65679688,75,,,75
64.8365625,83,,,83
64.88551107,375,,,375
64.92135417,79,,,79
64.9804362,119,,,119
65.13063802,379,,,379
65.19891602,87,,,87
65.2172168,115,,,115
65.23156901,111,,,111
65.31955729,383,,,383
65.32446289,107,,,107
65.6911263,387,,,387
65.72683919,391,,,391
66.43175456,395,,,395
66.92650716,399,,,399
69.32372721,17,,,17
69.56187826,29,,,29
69.60695964,13,,,13
69.97833659,12,,,12
70.4855599,11,,,11
72.56476237,8,,,8
72.62426107,7,,,7
72.67400065,37,,,37
72.67623372,6,,,6
73.28287435,7,,,7
73.36319987,19,,,19
73.47037109,5,,,5
75.3490918,2,,,2
76.94286133,16,,,16
(blank),,,,
Grand Total,20100,60100,,80200
