columna,categoria,min,max,range
std_v,GLOBAL,2.700616265711689,71.70792518646519,69.0073089207535
std_v,AR,27.35401337898084,67.56366585297711,40.20965247399627
std_v,MIX,46.61822086968363,59.57817600869336,12.959955139009729
std_v,NA,33.22829945320239,71.70792518646519,38.4796257332628
std_v,PAN,2.700616265711689,30.17345234895552,27.472836083243834
mean_b,GLOBAL,-16.58159722222223,14.775055338541677,31.356652560763905
mean_b,AR,-16.58159722222223,14.775055338541677,31.356652560763905
mean_b,MIX,-14.242911241319447,10.186462673611118,24.429373914930565
mean_b,NA,-15.027785373263896,11.017455512152765,26.04524088541666
mean_b,PAN,-0.3675260416666646,3.63982747395832,4.007353515624985
skew_v,GLOBAL,-0.8623367107828712,7.467574531974437,8.329911242757309
skew_v,AR,-0.8623367107828712,2.680676339776331,3.5430130505592023
skew_v,MIX,-0.2806359175223797,0.2712060965862454,0.5518420141086251
skew_v,NA,-0.3888516024218563,1.167852799852601,1.5567044022744572
skew_v,PAN,1.1693665302016356,7.467574531974437,6.298208001772801
v_95,GLOBAL,7.0,255.0,248.0
v_95,AR,77.0,255.0,178.0
v_95,MIX,238.0,255.0,17.0
v_95,NA,124.0,255.0,131.0
v_95,PAN,7.0,105.0,98.0
